movie_id,movie_title,movie_genres_str
1,Toy Story (1995),"['Adventure', 'Animation', ""Children's""]"
2,GoldenEye (1995),"['unknown', 'Action', 'Thriller']"
3,Four Rooms (1995),['Thriller']
4,Get Shorty (1995),"['unknown', ""Children's"", 'Documentary']"
5,Copycat (1995),"['Comedy', 'Documentary', 'Thriller']"
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Documentary']
7,Twelve Monkeys (1995),"['Documentary', 'Sci-Fi']"
8,Babe (1995),"['Animation', ""Children's"", 'Documentary']"
9,Dead Man Walking (1995),['Documentary']
10,Richard III (1995),"['Documentary', 'Western']"
11,Seven (Se7en) (1995),"['Comedy', 'Thriller']"
12,"Usual Suspects, The (1995)","['Comedy', 'Thriller']"
13,Mighty Aphrodite (1995),"[""Children's""]"
14,"Postino, Il (1994)","['Documentary', 'Romance']"
15,Mr. Holland's Opus (1995),['Documentary']
16,French Twist (Gazon maudit) (1995),"[""Children's"", 'Romance']"
17,From Dusk Till Dawn (1996),"['unknown', ""Children's"", 'Comedy', 'Film-Noir', 'Thriller']"
18,"White Balloon, The (1995)",['Documentary']
19,Antonia's Line (1995),['Documentary']
20,Angels and Insects (1995),"['Documentary', 'Romance']"
21,Muppet Treasure Island (1996),"['unknown', 'Action', ""Children's"", 'Musical', 'Thriller']"
22,Braveheart (1995),"['unknown', 'Documentary', 'Western']"
23,Taxi Driver (1976),"['Documentary', 'Thriller']"
24,Rumble in the Bronx (1995),"['unknown', 'Action', 'Comedy']"
25,"Birdcage, The (1996)","[""Children's""]"
26,"Brothers McMullen, The (1995)","[""Children's""]"
27,Bad Boys (1995),['unknown']
28,Apollo 13 (1995),"['unknown', 'Documentary', 'Thriller']"
29,Batman Forever (1995),"['unknown', 'Action', ""Children's"", 'Comedy']"
30,Belle de jour (1967),['Documentary']
31,Crimson Tide (1995),"['Documentary', 'Thriller', 'Western']"
32,Crumb (1994),['Crime']
33,Desperado (1995),"['unknown', 'Romance', 'Thriller']"
34,"Doom Generation, The (1995)","[""Children's"", 'Documentary']"
35,Free Willy 2: The Adventure Home (1995),"['Action', 'Animation', 'Documentary']"
36,Mad Love (1995),"['Documentary', 'Romance']"
37,Nadja (1994),['Documentary']
38,"Net, The (1995)","['Sci-Fi', 'Thriller']"
39,Strange Days (1995),"['unknown', 'Comedy', 'Sci-Fi']"
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","[""Children's""]"
41,Billy Madison (1995),"[""Children's""]"
42,Clerks (1994),"[""Children's""]"
43,Disclosure (1994),"['Documentary', 'Thriller']"
44,Dolores Claiborne (1994),"['Documentary', 'Thriller']"
45,Eat Drink Man Woman (1994),"[""Children's"", 'Documentary']"
46,Exotica (1994),['Documentary']
47,Ed Wood (1994),"[""Children's"", 'Documentary']"
48,Hoop Dreams (1994),['Crime']
49,I.Q. (1994),"[""Children's"", 'Romance']"
50,Star Wars (1977),"['unknown', 'Action', 'Romance', 'Sci-Fi', 'Western']"
51,Legends of the Fall (1994),"['Documentary', 'Romance', 'Western', 'unknown']"
52,"Madness of King George, The (1994)",['Documentary']
53,Natural Born Killers (1994),"['unknown', 'Thriller']"
