	movie_id	movie_title	movie_genres_str
0	1	Toy Story (1995)	"['Adventure', 'Animation', ""Children's""]"
1	2	GoldenEye (1995)	['unknown', 'Action', 'Thriller']
2	3	Four Rooms (1995)	['Thriller']
3	4	Get Shorty (1995)	"['unknown', ""Children's"", 'Documentary']"
4	5	Copycat (1995)	['Comedy', 'Documentary', 'Thriller']
5	6	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	['Documentary']
6	7	Twelve Monkeys (1995)	['Documentary', 'Sci-Fi']
7	8	Babe (1995)	"['Animation', ""Children's"", 'Documentary']"
8	9	Dead Man Walking (1995)	['Documentary']
9	10	Richard III (1995)	['Documentary', 'Western']
10	11	Seven (Se7en) (1995)	['Comedy', 'Thriller']
11	12	Usual Suspects, The (1995)	['Comedy', 'Thriller']
12	13	Mighty Aphrodite (1995)	"[""Children's""]"
13	14	Postino, Il (1994)	['Documentary', 'Romance']
14	15	Mr. Holland's Opus (1995)	['Documentary']
15	16	French Twist (Gazon maudit) (1995)	"[""Children's"", 'Romance']"
16	17	From Dusk Till Dawn (1996)	"['unknown', ""Children's"", 'Comedy', 'Film-Noir', 'Thriller']"
17	18	White Balloon, The (1995)	['Documentary']
18	19	Antonia's Line (1995)	['Documentary']
19	20	Angels and Insects (1995)	['Documentary', 'Romance']
20	21	Muppet Treasure Island (1996)	"['unknown', 'Action', ""Children's"", 'Musical', 'Thriller']"
21	22	Braveheart (1995)	['unknown', 'Documentary', 'Western']
22	23	Taxi Driver (1976)	['Documentary', 'Thriller']
23	24	Rumble in the Bronx (1995)	['unknown', 'Action', 'Comedy']
24	25	Birdcage, The (1996)	"[""Children's""]"
25	26	Brothers McMullen, The (1995)	"[""Children's""]"
26	27	Bad Boys (1995)	['unknown']
27	28	Apollo 13 (1995)	['unknown', 'Documentary', 'Thriller']
28	29	Batman Forever (1995)	"['unknown', 'Action', ""Children's"", 'Comedy']"
29	30	Belle de jour (1967)	['Documentary']
30	31	Crimson Tide (1995)	['Documentary', 'Thriller', 'Western']
31	32	Crumb (1994)	['Crime']
32	33	Desperado (1995)	['unknown', 'Romance', 'Thriller']
33	34	Doom Generation, The (1995)	"[""Children's"", 'Documentary']"
34	35	Free Willy 2: The Adventure Home (1995)	['Action', 'Animation', 'Documentary']
35	36	Mad Love (1995)	['Documentary', 'Romance']
36	37	Nadja (1994)	['Documentary']
37	38	Net, The (1995)	['Sci-Fi', 'Thriller']
38	39	Strange Days (1995)	['unknown', 'Comedy', 'Sci-Fi']
39	40	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	"[""Children's""]"
40	41	Billy Madison (1995)	"[""Children's""]"
41	42	Clerks (1994)	"[""Children's""]"
42	43	Disclosure (1994)	['Documentary', 'Thriller']
43	44	Dolores Claiborne (1994)	['Documentary', 'Thriller']
44	45	Eat Drink Man Woman (1994)	"[""Children's"", 'Documentary']"
45	46	Exotica (1994)	['Documentary']
46	47	Ed Wood (1994)	"[""Children's"", 'Documentary']"
47	48	Hoop Dreams (1994)	['Crime']
48	49	I.Q. (1994)	"[""Children's"", 'Romance']"
